Date,Time logged,Updated,Zone,Person Count
2023-10-07,17:15:28.613,17:15:28.563,Zone_04-01,0
2023-10-07,17:15:28.614,17:15:28.563,Zone_04-06,0
2023-10-07,17:15:28.614,17:15:28.563,Zone_04-02,0
2023-10-07,17:15:28.614,17:15:28.563,Zone_04-03,0
2023-10-07,17:15:28.614,17:15:28.563,Zone_04-04,0
2023-10-07,17:15:28.615,17:15:28.563,Zone_04-05,0
2023-10-07,17:15:28.615,17:15:28.563,Zone_06-05,0
2023-10-07,17:15:28.615,17:15:28.563,Zone_06-04,0
2023-10-07,17:15:28.615,17:15:28.563,Zone_06-01,0
2023-10-07,17:15:28.616,17:15:28.563,Zone_06-03,0
2023-10-07,17:15:28.616,17:15:28.563,Zone_06-02,1
2023-10-07,17:15:28.616,17:15:28.565,Zone_14-01,0
2023-10-07,17:15:28.616,17:15:28.565,Zone_14-02,0
2023-10-07,17:15:28.617,17:15:28.565,Zone_14-03,0
2023-10-07,17:15:28.617,17:15:28.565,Zone_14-04,0
2023-10-07,17:15:28.617,17:15:28.565,Zone_14-05,0
2023-10-07,17:15:28.617,17:15:28.565,Zone_14-06,0
2023-10-07,17:15:28.618,17:15:28.565,Zone_14-07,0
2023-10-07,17:15:28.618,17:15:28.563,Zone_13-06,0
2023-10-07,17:15:28.618,17:15:28.563,Zone_13-05,0
2023-10-07,17:15:28.619,17:15:28.563,Zone_13-04,0
2023-10-07,17:15:28.619,17:15:28.563,Zone_13-03,0
2023-10-07,17:15:28.619,17:15:28.563,Zone_13-02,0
2023-10-07,17:15:28.619,17:15:28.563,Zone_13-01,0
2023-10-07,17:15:28.619,17:15:28.584,Zone_08-01,0
2023-10-07,17:15:28.620,17:15:28.584,Zone_08-02,0
2023-10-07,17:15:28.620,17:15:28.564,Zone_12-05,0
2023-10-07,17:15:28.621,17:15:28.564,Zone_12-03,0
2023-10-07,17:15:28.621,17:15:28.564,Zone_12-04,0
2023-10-07,17:15:28.621,17:15:28.564,Zone_12-01,0
2023-10-07,17:15:28.621,17:15:28.564,Zone_12-02,0
2023-10-07,17:15:28.622,17:15:28.566,Zone_10-03,0
2023-10-07,17:15:28.622,17:15:28.566,Zone_10-04,0
2023-10-07,17:15:28.622,17:15:28.566,Zone_10-01,0
2023-10-07,17:15:28.622,17:15:28.566,Zone_10-02,0
2023-10-07,17:15:28.623,17:15:28.566,Zone_10-06,0
2023-10-07,17:15:28.623,17:15:28.566,Zone_10-05,0
2023-10-07,17:15:28.623,17:15:28.566,Zone_10-07,0
2023-10-07,17:15:28.623,17:15:28.565,Zone_01-06,0
2023-10-07,17:15:28.624,17:15:28.565,Zone_01-05,0
2023-10-07,17:15:28.624,17:15:28.565,Zone_01-04,0
2023-10-07,17:15:28.624,17:15:28.565,Zone_01-03,0
2023-10-07,17:15:28.624,17:15:28.565,Zone_01-02,0
2023-10-07,17:15:28.625,17:15:28.565,Zone_01-01,0
2023-10-07,17:15:28.625,17:15:28.565,Zone_01-07,0
2023-10-07,17:15:28.625,17:15:28.565,Zone_01-08,0
2023-10-07,17:15:29.090,17:15:29.045,Zone_09-04,0
2023-10-07,17:15:29.091,17:15:29.045,Zone_09-03,0
2023-10-07,17:15:29.091,17:15:29.045,Zone_09-02,0
2023-10-07,17:15:29.091,17:15:29.045,Zone_09-01,0
2023-10-07,17:15:29.092,17:15:29.045,Zone_07-01,0
2023-10-07,17:15:29.092,17:15:29.045,Zone_07-02,0
2023-10-07,17:15:29.093,17:15:29.045,Zone_07-03,0
2023-10-07,17:15:29.093,17:15:29.045,Zone_07-04,0
2023-10-07,17:15:29.093,17:15:29.045,Zone_05-03,0
2023-10-07,17:15:29.094,17:15:29.045,Zone_05-04,0
2023-10-07,17:15:29.094,17:15:29.045,Zone_05-05,0
2023-10-07,17:15:29.094,17:15:29.045,Zone_05-06,0
2023-10-07,17:15:29.095,17:15:29.045,Zone_05-01,0
2023-10-07,17:15:29.095,17:15:29.045,Zone_05-02,0
2023-10-07,17:15:29.095,17:15:29.066,Zone_03-01,0
2023-10-07,17:15:29.096,17:15:29.066,Zone_03-02,0
2023-10-07,17:15:29.096,17:15:29.066,Zone_03-03,0
2023-10-07,17:15:29.096,17:15:29.046,Zone_02-01,0
2023-10-07,17:15:29.096,17:15:29.046,Zone_02-03,0
2023-10-07,17:15:29.097,17:15:29.046,Zone_02-02,0
2023-10-07,17:15:29.097,17:15:29.046,Zone_02-05,0
2023-10-07,17:15:29.097,17:15:29.046,Zone_02-04,0
2023-10-07,17:15:29.097,17:15:29.045,Zone_04-01,0
2023-10-07,17:15:29.098,17:15:29.045,Zone_04-06,0
2023-10-07,17:15:29.098,17:15:29.045,Zone_04-02,0
2023-10-07,17:15:29.098,17:15:29.045,Zone_04-03,0
2023-10-07,17:15:29.099,17:15:29.045,Zone_04-04,0
2023-10-07,17:15:29.099,17:15:29.045,Zone_04-05,0
2023-10-07,17:15:29.099,17:15:29.045,Zone_06-05,0
2023-10-07,17:15:29.099,17:15:29.045,Zone_06-04,0
2023-10-07,17:15:29.100,17:15:29.045,Zone_06-01,0
2023-10-07,17:15:29.100,17:15:29.045,Zone_06-03,0
2023-10-07,17:15:29.100,17:15:29.045,Zone_06-02,1
2023-10-07,17:15:29.101,17:15:29.046,Zone_14-01,0
2023-10-07,17:15:29.101,17:15:29.046,Zone_14-02,0
2023-10-07,17:15:29.101,17:15:29.046,Zone_14-03,0
2023-10-07,17:15:29.101,17:15:29.046,Zone_14-04,0
2023-10-07,17:15:29.102,17:15:29.046,Zone_14-05,0
2023-10-07,17:15:29.102,17:15:29.046,Zone_14-06,0
2023-10-07,17:15:29.102,17:15:29.046,Zone_14-07,0
2023-10-07,17:15:29.103,17:15:29.045,Zone_13-06,0
2023-10-07,17:15:29.103,17:15:29.045,Zone_13-05,0
2023-10-07,17:15:29.103,17:15:29.045,Zone_13-04,0
2023-10-07,17:15:29.103,17:15:29.045,Zone_13-03,0
2023-10-07,17:15:29.104,17:15:29.045,Zone_13-02,0
2023-10-07,17:15:29.104,17:15:29.045,Zone_13-01,0
2023-10-07,17:15:29.104,17:15:29.065,Zone_08-01,0
2023-10-07,17:15:29.105,17:15:29.065,Zone_08-02,0
2023-10-07,17:15:29.105,17:15:29.045,Zone_12-05,0
